to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
,91852.46,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Collective Feedback Commission Citizens House"", ""application_url"": ""https://atlas.optimism.io/project/0x9056aef66264e926d4aefa66cf45438b2586459934515dff43432e7a95d0d972"", ""token_amount"": 34531, ""token_unit"": ""OP"", ""project_id"": ""0x9056aef66264e926d4aefa66cf45438b2586459934515dff43432e7a95d0d972""}"
,91852.46,2024-12-06,optimism,retrofunding6,"{""application_name"": ""GovNERDs [Season 5]"", ""application_url"": ""https://atlas.optimism.io/project/0x7949ba6d89f7352a58920e22fa88f619ed3deb4d2dc1e5d78e0ecec27c226135"", ""token_amount"": 34531, ""token_unit"": ""OP"", ""project_id"": ""0x7949ba6d89f7352a58920e22fa88f619ed3deb4d2dc1e5d78e0ecec27c226135""}"
,90876.24,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Superfluid"", ""application_url"": ""https://atlas.optimism.io/project/0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535"", ""token_amount"": 34164, ""token_unit"": ""OP"", ""project_id"": ""0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535""}"
,85652.0,2024-12-06,optimism,retrofunding6,"{""application_name"": ""GovNERDs [Season 6]"", ""application_url"": ""https://atlas.optimism.io/project/0xe201af5c5e4ab6b35a0a7b740d614497736ae5631650c6f7847c113628a0c74e"", ""token_amount"": 32200, ""token_unit"": ""OP"", ""project_id"": ""0xe201af5c5e4ab6b35a0a7b740d614497736ae5631650c6f7847c113628a0c74e""}"
,85263.64,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Optimism Governance Calls"", ""application_url"": ""https://atlas.optimism.io/project/0x5e273cdfe70177d7e48afcc29f2cc76a361d9bc49edf294d72089d2fed156871"", ""token_amount"": 32054, ""token_unit"": ""OP"", ""project_id"": ""0x5e273cdfe70177d7e48afcc29f2cc76a361d9bc49edf294d72089d2fed156871""}"
,80935.82,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Voting-Bloc Entropy (VBE)"", ""application_url"": ""https://atlas.optimism.io/project/0x5f1def93f7d757bd498e7766d3b3735f5fd899c48ddda039b5e23b73a95fa4ec"", ""token_amount"": 30427, ""token_unit"": ""OP"", ""project_id"": ""0x5f1def93f7d757bd498e7766d3b3735f5fd899c48ddda039b5e23b73a95fa4ec""}"
,77512.40000000001,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Code of Conduct Council S5"", ""application_url"": ""https://atlas.optimism.io/project/0xb048fd114695d6c903457e968fed1d67681b52400a31e10fe4f9f9d053279792"", ""token_amount"": 29140, ""token_unit"": ""OP"", ""project_id"": ""0xb048fd114695d6c903457e968fed1d67681b52400a31e10fe4f9f9d053279792""}"
,76129.2,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Cantina.xyz - Security Audit for OP Cycle 19"", ""application_url"": ""https://atlas.optimism.io/project/0xd4d64a473140c3ce516878d6c5e6883a077c5598220383ce6294c9ee0b855133"", ""token_amount"": 28620, ""token_unit"": ""OP"", ""project_id"": ""0xd4d64a473140c3ce516878d6c5e6883a077c5598220383ce6294c9ee0b855133""}"
,75825.96,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Badgeholder Onchain Analysis"", ""application_url"": ""https://atlas.optimism.io/project/0xd7d890ece3fe2b8970a04986254c6d68f941ec066f18ab06c8610b6867740751"", ""token_amount"": 28506, ""token_unit"": ""OP"", ""project_id"": ""0xd7d890ece3fe2b8970a04986254c6d68f941ec066f18ab06c8610b6867740751""}"
pairwise-general-magic,75786.06,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Pairwise"", ""application_url"": ""https://atlas.optimism.io/project/0x98877a3c5f3d5eee496386ae93a23b17f0f51b70b3041b3c8226f98fbeca09ec"", ""token_amount"": 28491, ""token_unit"": ""OP"", ""project_id"": ""0x98877a3c5f3d5eee496386ae93a23b17f0f51b70b3041b3c8226f98fbeca09ec""}"
